 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   VariSat      974                 330                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   Splr         1879                170                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   BatSat       872                 103                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   ScrewSat     5740                653                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   VariSat      1748                865                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   Splr         2918                1453                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_6   BatSat       1477                151                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   ScrewSat     2878                386                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   VariSat      946                 202                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   Splr         1117                230                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_7   BatSat       547                 108                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   ScrewSat     1657                171                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   VariSat      378                 67                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   Splr         773                 77                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_8   BatSat       284                 96                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   ScrewSat     1074                142                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   VariSat      369                 153                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   Splr         702                 77                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_9   BatSat       535                 73                  UNSAT 
 almost_symmetric_network_2_orgs_                        ScrewSat     657                 97                  UNSAT 
 almost_symmetric_network_2_orgs_                        VariSat      415                 16                  UNSAT 
 almost_symmetric_network_2_orgs_                        Splr         246                 10                  UNSAT 
 almost_symmetric_network_2_orgs_                        BatSat       101                 10                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    ScrewSat     586                 55                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    VariSat      483                 105                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    Splr         315                 26                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_1    BatSat       151                 24                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    ScrewSat     862                 164                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    VariSat      841                 60                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    Splr         2133                27                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_2    BatSat       363                 25                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    ScrewSat     662                 180                 UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    VariSat      502                 41                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    Splr         723                 22                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_3    BatSat       208                 23                  UNSAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    ScrewSat     641                 41                  SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    VariSat      207                 30                  SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    Splr         879                 861                 SAT 
 almost_symmetric_network_5_orgs_delete_prob_factor_4    BatSat       320                 23                  SAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    ScrewSat     1078                66                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    VariSat      222                 110                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    Splr         659                 97                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_1    BatSat       264                 76                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    ScrewSat     677                 67                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    VariSat      193                 64                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    Splr         810                 31                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_2    BatSat       159                 28                  UNSAT 
